"","x","y","area"
"623",3555,3242,"domain_5"
"624",4436,4179,"domain_2"
"625",6825,5691,"domain_4"
"626",3814,8294,"domain_2"
"627",8204,4317,"domain_3"
"628",4811,3095,"domain_2"
"629",5063,3528,"domain_3"
"630",3690,8944,"domain_2"
"631",4308,3096,"domain_3"
"632",5569,6126,"domain_3"
"633",7204,7206,"domain_3"
"634",3430,3891,"domain_5"
"635",3054,4397,"domain_2"
"636",9967,7057,"domain_1"
"637",3807,3819,"domain_2"
"638",3310,6996,"domain_2"
"639",9089,7853,"domain_1"
"640",7836,9876,"domain_1"
"641",7702,4751,"domain_3"
"642",2177,5770,"domain_2"
"643",7706,6917,"domain_2"
"644",8967,10235,"domain_1"
"645",6072,6125,"domain_3"
"646",6572,4536,"domain_3"
"647",6201,8363,"domain_3"
"648",4944,7932,"domain_2"
"649",8084,7710,"domain_1"
"650",5198,9953,"domain_2"
"651",6330,10312,"domain_1"
"652",7579,6267,"domain_3"
"653",3807,3674,"domain_2"
"654",7706,7061,"domain_2"
"655",4060,4685,"domain_2"
"656",9466,8069,"domain_1"
"657",9842,7130,"domain_1"
"658",8838,7709,"domain_1"
"659",6195,4609,"domain_3"
"660",2932,6491,"domain_2"
"661",9088,7131,"domain_1"
"662",6829,8145,"domain_3"
"663",8832,4099,"domain_2"
"664",4568,8438,"domain_2"
"665",5942,3310,"domain_3"
"666",8713,8070,"domain_1"
"667",7710,9227,"domain_1"
"668",9716,7058,"domain_1"
"669",9218,10091,"domain_1"
"670",4440,6922,"domain_2"
"671",2929,4325,"domain_5"
"672",9090,8575,"domain_1"
"673",5565,3238,"domain_3"
"674",5323,9158,"domain_2"
"675",5945,5764,"domain_4"
"676",5067,5982,"domain_3"
"677",5197,9231,"domain_2"
"678",9594,9585,"domain_1"
"679",4058,3530,"domain_3"
"680",3806,3241,"domain_2"
"681",7200,4896,"domain_3"
"682",4947,9520,"domain_2"
"683",4441,7644,"domain_2"
"684",5320,7137,"domain_3"
"685",2682,7358,"domain_2"
"686",6952,6629,"domain_3"
"687",6580,9878,"domain_1"
"688",9088,7420,"domain_1"
"689",8587,7854,"domain_1"
"690",10096,9295,"domain_1"
"691",7950,2585,"domain_2"
"692",9710,3304,"domain_2"
"693",6455,10095,"domain_1"
"694",8830,2944,"domain_3"
"695",6581,10456,"domain_1"
"696",9091,9152,"domain_1"
"697",4192,8799,"domain_2"
"698",6199,6919,"domain_3"
"699",10720,6479,"domain_2"
"700",6203,9518,"domain_1"
