"","x","y","area"
"750",14447,19596,"domain_4"
"751",8135,18590,"domain_2"
"752",9909,23085,"domain_2"
"753",21241,5223,"domain_5"
"754",13435,18147,"domain_4"
"755",10142,10753,"domain_4"
"756",15692,8424,"domain_1"
"757",13945,21338,"domain_4"
"758",20249,16831,"domain_3"
"759",16703,9293,"domain_1"
"760",11168,21197,"domain_2"
"761",17461,9436,"domain_1"
"762",8371,8000,"domain_4"
"763",9896,14671,"domain_2"
"764",20753,16250,"domain_3"
"765",14952,19886,"domain_4"
"766",9151,22651,"domain_2"
"767",14941,12632,"domain_1"
"768",20489,9142,"domain_3"
"769",12677,17713,"domain_4"
"770",11166,20037,"domain_2"
"771",5862,17869,"domain_2"
"772",20760,20892,"domain_3"
"773",15193,12196,"domain_1"
"774",12172,17714,"domain_4"
"775",16970,19012,"domain_1"
"776",15444,11180,"domain_4"
"777",19241,18283,"domain_3"
"778",14192,18001,"domain_4"
"779",22271,18859,"domain_3"
"780",9902,18733,"domain_2"
"781",19493,17558,"domain_3"
"782",13923,6830,"domain_1"
"783",15689,6393,"domain_1"
"784",12659,6107,"domain_4"
"785",8135,18881,"domain_2"
"786",7359,6550,"domain_2"
"787",9129,8434,"domain_4"
"788",13930,11473,"domain_1"
"789",7879,16705,"domain_2"
"790",16702,8712,"domain_1"
"791",9883,6256,"domain_4"
"792",10389,7126,"domain_4"
"793",7629,18011,"domain_2"
"794",23032,21324,"domain_3"
"795",4344,15840,"domain_2"
"796",8873,6258,"domain_4"
"797",11407,12347,"domain_6"
"798",14692,14518,"domain_4"
"799",7109,7856,"domain_2"
"800",6353,8873,"domain_2"
"801",20245,14220,"domain_3"
"802",21495,6529,"domain_5"
"803",7866,7710,"domain_2"
"804",21012,20457,"domain_3"
"805",10160,22649,"domain_2"
"806",6866,14095,"domain_2"
"807",18480,15818,"domain_3"
"808",15962,19884,"domain_1"
"809",15694,9584,"domain_1"
"810",15701,13936,"domain_1"
"811",12417,12346,"domain_6"
"812",5104,17434,"domain_2"
"813",13421,9152,"domain_4"
"814",12676,16843,"domain_4"
"815",10150,15976,"domain_2"
"816",6372,21640,"domain_2"
"817",6122,23236,"domain_2"
"818",16460,15531,"domain_1"
"819",6120,21495,"domain_2"
"820",10661,20037,"domain_2"
"821",12934,20759,"domain_4"
"822",15446,12631,"domain_1"
"823",7865,7420,"domain_2"
"824",15701,14227,"domain_1"
"825",8373,9450,"domain_2"
